study_id,pub_year,start_year,end_year,study_length,country,site,flyway,flyway_code,annual_cycle,impact_coarse,impact_fine
Iwamura et al. 2013,2013,,,,East Asia-Australasia,"Alaska, Russia, Japan, Yellow Sea, East China Sea, Southeast Asia, Australia, New Zealand",East Asian-Australasian,EA.A,Full annual cycle,Bird,Population flow
Linhoss et al. 2013,2013,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat extent
Linhoss et al. 2013,2013,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Habitat,Carrying capacity
Linhoss et al. 2013,2013,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Bird,Extinction risk
Linhoss et al. 2013,2013,2010,2100,90,United States,Florida Gulf Coast,Atlantic Americas,ATL.AM,Breeding,Bird,Percent decline in population
Naughton 2013,2013,2002,2100,98,United States,"San Diego County, San Diego Bay, Tijuana estuary",Pacific Americas,PA.AM,Breeding,Habitat,Habitat extent
Naughton 2013,2013,2002,2100,98,United States,"San Diego County, San Diego Bay, Tijuana estuary",Pacific Americas,PA.AM,Migration,Habitat,Habitat extent
Ross 2013,2013,2000,2095,95,United Kingdom,Poole Harbour,East Atlantic,E.ATL,Non-breeding,Bird,Overwinter survival
Ross 2013,2013,2000,2095,95,United Kingdom,Poole Harbour,East Atlantic,E.ATL,Non-breeding,Bird,Mean energy stores
Sims et al. 2013,2013,2011,2100,89,United States,Rhode Island,Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat extent
Hollenbeck et al. 2014,2014,2011,2100,89,United States,"Rabbit Rock, Oregon",Pacific Americas,PA.AM,Resident,Habitat,Habitat extent
Gieder 2015,2015,2008,2100,92,United States,"Assateague Island, Maryland",Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat extent
Gieder 2015,2015,2008,2100,92,United States,"Assateague Island, Maryland",Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat suitability
Hunter et al. 2015,2015,2007,2100,93,United States,Georgia coast,Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat extent
Hunter et al. 2015,2015,2007,2100,93,United States,Georgia coast,Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat patch size
Hunter et al. 2015,2015,2007,2100,93,United States,Georgia coast,Atlantic Americas,ATL.AM,Breeding,Habitat,Habitat permanence
Hunter et al. 2015,2015,2007,2100,93,United States,Georgia coast,Atlantic Americas,ATL.AM,Non-breeding,Habitat,Habitat extent
